state,Date,State,Region,Division,Daily_Death,Daily_Case,People_Fully_Vaccinated,Above_Poverty_Level_Population,No_Health_Insurance_Population,population,Median_Income,65_Years_or_More_Population,25_Years_or_More_Population,Population_Density,Bachelors_Degree_or_Higher_Population,Fully_reopen,Mask_Mandate,Vaccination_or_test,Ratio of people per hospital employee,Ratio of people per hospital,gdp_2020,employed_population,tests_combined_total
AL,2021-02-10,Alabama,South,East South Central,31,1577,95033,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3847376
AL,2021-02-11,Alabama,South,East South Central,42,1260,104362,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3862060
AL,2021-02-12,Alabama,South,East South Central,15,1200,114306,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3876364
AL,2021-02-13,Alabama,South,East South Central,9,1049,125553,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3884234
AL,2021-02-14,Alabama,South,East South Central,5,650,133029,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3889410
AL,2021-02-15,Alabama,South,East South Central,21,875,137032,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3896251
AL,2021-02-16,Alabama,South,East South Central,17,958,137032,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3904080
AL,2021-02-17,Alabama,South,East South Central,23,1028,152781,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3913380
AL,2021-02-18,Alabama,South,East South Central,15,812,158246,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3926567
AL,2021-02-19,Alabama,South,East South Central,7,786,169339,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3938333
AL,2021-02-20,Alabama,South,East South Central,8,756,192304,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3946550
AL,2021-02-21,Alabama,South,East South Central,7,667,214512,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3950568
AL,2021-02-22,Alabama,South,East South Central,22,1355,219639,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3960662
AL,2021-02-23,Alabama,South,East South Central,24,1364,233073,3958299,457826,4903185,26231,804881,3320877,37.31,845772,1,0,0,50,20689,899481,2145168,3971406
